,,bilateral,inconclusive,left,right
0.01,-0.99,5.97626683955e-07,5.35981678459e-06,8.57242155846e-09,0.999994033984
0.02,-0.99,6.02227202506e-07,5.35315120774e-06,8.51299604495e-09,0.999994036109
0.03,-0.99,6.06874037084e-07,5.34651734482e-06,8.45429742661e-09,0.999994038154
0.04,-0.99,6.11567730679e-07,5.33991527455e-06,8.39631913014e-09,0.999994040121
0.05,-0.99,6.1630883481e-07,5.33334507651e-06,8.33905468832e-09,0.999994042007
0.06,-0.99,6.2109790966e-07,5.32680683109e-06,8.28249773845e-09,0.999994043813
0.07,-0.99,6.2593552421e-07,5.32030061947e-06,8.22664202168e-09,0.999994045537
0.08,-0.99,6.30822256373e-07,5.31382652352e-06,8.17148138168e-09,0.99999404718
0.09,-0.99,6.3575869314e-07,5.3073846258e-06,8.11700976363e-09,0.99999404874
0.1,-0.99,6.40745430711e-07,5.30097500947e-06,8.06322121344e-09,0.999994050216
0.11,-0.99,6.45783074645e-07,5.29459775825e-06,8.01010987701e-09,0.999994051609
0.12,-0.99,6.50872240001e-07,5.28825295635e-06,7.95767022162e-09,0.999994052917
0.13,-0.99,6.5601355148e-07,5.28194068842e-06,7.90589652717e-09,0.99999405414
0.14,-0.99,6.61207643578e-07,5.27566103948e-06,7.85478308487e-09,0.999994055277
0.15,-0.99,6.66455160732e-07,5.26941409483e-06,7.80432442888e-09,0.999994056326
0.16,-0.99,6.71756757477e-07,5.26319994004e-06,7.75451518812e-09,0.999994057289
0.17,-0.99,6.7711309859e-07,5.25701866082e-06,7.70535008543e-09,0.999994058163
0.18,-0.99,6.82524859254e-07,5.25087034299e-06,7.65682393695e-09,0.999994058948
0.19,-0.99,6.87992725208e-07,5.24475507236e-06,7.60893165043e-09,0.999994059643
0.2,-0.99,6.9351739291e-07,5.2386729347e-06,7.56166822522e-09,0.999994060248
0.21,-0.99,6.99099569691e-07,5.23262401563e-06,7.51502875127e-09,0.999994060761
0.22,-0.99,7.04739973925e-07,5.22660840055e-06,7.46900840823e-09,0.999994061183
0.23,-0.99,7.10439335183e-07,5.22062617451e-06,7.42360246509e-09,0.999994061511
0.24,-0.99,7.16198394406e-07,5.21467742221e-06,7.37880627887e-09,0.999994061745
0.25,-0.99,7.22017904067e-07,5.20876222782e-06,7.33461529701e-09,0.999994061885
0.26,-0.99,7.27898628338e-07,5.20288067491e-06,7.2910250476e-09,0.99999406193
0.27,-0.99,7.33841343261e-07,5.19703284637e-06,7.2480311473e-09,0.999994061878
0.28,-0.99,7.39846836921e-07,5.19121882431e-06,7.2056292989e-09,0.999994061729
0.29,-0.99,5.19054896752e-07,2.84041327822e-06,8.5238657423e-09,0.999996632008
0.3,-0.99,5.23205453999e-07,2.84044160795e-06,8.47610666898e-09,0.999996627877
0.31,-0.99,5.27400225484e-07,2.84048293494e-06,8.42897469209e-09,0.999996623688
0.32,-0.99,5.31639754453e-07,2.84053731782e-06,8.38246579761e-09,0.99999661944
0.33,-0.99,5.3592459198e-07,2.84060481378e-06,8.336576057e-09,0.999996615134
0.34,-0.99,5.40255297061e-07,2.84068547851e-06,8.29130162663e-09,0.999996610768
0.35,-0.99,5.44632436698e-07,2.84077936607e-06,8.24663874813e-09,0.999996606342
0.36,-0.99,5.49056585987e-07,2.84088652883e-06,8.20258374619e-09,0.999996601854
0.37,-0.99,5.53528328205e-07,2.84100701735e-06,8.15913302791e-09,0.999996597306
0.38,-0.99,5.58048254899e-07,2.84114088031e-06,8.11628308415e-09,0.999996592695
0.39,-0.99,5.62616965977e-07,2.84128816438e-06,8.07403048821e-09,0.999996588021
0.4,-0.99,5.67235069786e-07,2.84144891414e-06,8.03237189533e-09,0.999996583284
0.41,-0.99,5.71903183204e-07,2.84162317195e-06,7.99130404242e-09,0.999996578482
0.42,-0.99,5.76621931726e-07,2.84181097789e-06,7.95082374733e-09,0.999996573616
0.43,-0.99,5.81391949541e-07,2.8420123696e-06,7.91092790891e-09,0.999996568685
0.44,-0.99,5.86213879627e-07,2.8422273822e-06,7.87161350659e-09,0.999996563687
0.45,-0.99,5.91088373821e-07,2.84245604816e-06,7.83287759901e-09,0.999996558623
0.46,-0.99,5.96016092915e-07,2.84269839721e-06,7.79471732813e-09,0.999996553491
0.47,-0.99,6.00997706721e-07,2.84295445618e-06,7.75712991202e-09,0.999996548291
0.48,-0.99,6.06033894162e-07,2.8432242489e-06,7.72011264642e-09,0.999996543022
0.49,-0.99,6.11125343345e-07,2.84350779608e-06,7.68366290466e-09,0.999996537683
0.5,-0.99,6.16272751636e-07,2.84380511517e-06,7.64777814007e-09,0.999996532274
0.51,-0.99,6.21476825741e-07,2.84411622026e-06,7.61245588472e-09,0.999996526795
0.52,-0.99,6.26738281773e-07,2.8444411219e-06,7.57769374879e-09,0.999996521243
0.53,-0.99,6.32057845326e-07,2.84477982701e-06,7.54348941965e-09,0.999996515619
0.54,-0.99,6.37436251543e-07,2.84513233872e-06,7.50984066238e-09,0.999996509922
0.55,-0.99,6.42874245186e-07,2.84549865625e-06,7.47674532387e-09,0.99999650415
0.56,-0.99,6.48372580697e-07,2.84587877474e-06,7.44420131953e-09,0.999996498304
0.57,-0.99,6.53932022263e-07,2.84627268511e-06,7.41220664639e-09,0.999996492383
0.58,-0.99,6.59553343876e-07,2.84668037396e-06,7.38075937632e-09,0.999996486386
0.59,-0.99,6.65237329389e-07,2.84710182333e-06,7.3498576597e-09,0.999996480311
0.6,-0.99,6.70984772571e-07,2.84753701064e-06,7.31949972237e-09,0.999996474159
0.61,-0.99,6.76796477159e-07,2.84798590848e-06,7.2896838667e-09,0.999996467928
0.62,-0.99,6.82673256904e-07,2.84844848448e-06,7.26040847163e-09,0.999996461618
0.63,-0.99,6.8861593562e-07,2.84892470112e-06,7.23167199242e-09,0.999996455228
0.64,-0.99,6.94625347222e-07,2.8494145156e-06,7.2034729606e-09,0.999996448757
0.65,-0.99,7.00702335764e-07,2.84991787964e-06,7.17580998391e-09,0.999996442204
0.66,-0.99,7.06847755473e-07,2.85043473936e-06,7.1486817462e-09,0.999996435569
0.67,-0.99,7.13062470777e-07,2.85096503508e-06,7.12208700758e-09,0.99999642885
0.68,-0.99,7.19347356336e-07,2.85150870112e-06,7.09602460437e-09,0.999996422048
0.69,-0.99,7.25703297056e-07,2.8520656657e-06,7.07049344928e-09,0.999996415161
0.7,-0.99,7.32131188106e-07,2.8526358507e-06,7.04549253116e-09,0.999996408187
0.71,-0.99,7.38631934933e-07,2.8532191715e-06,7.02102091521e-09,0.999996401128
0.72,-0.99,7.45206453265e-07,2.85381553681e-06,6.99707774325e-09,0.999996393981
0.73,-0.99,7.51855669112e-07,2.85442484849e-06,6.97366223392e-09,0.999996386746
0.74,-0.99,7.5858051876e-07,2.85504700133e-06,6.95077379778e-09,0.999996379422
0.75,-0.99,7.65381948762e-07,2.85568188289e-06,6.92841562851e-09,0.999996372008
0.76,-0.99,7.72260915921e-07,2.85632937335e-06,6.90658341257e-09,0.999996364503
0.77,-0.99,7.79218387268e-07,2.85698934524e-06,6.88527668501e-09,0.999996356907
0.78,-0.99,7.8625534003e-07,2.85766166331e-06,6.86449505651e-09,0.999996349219
0.79,-0.99,7.9337276159e-07,2.85834618431e-06,6.84423821495e-09,0.999996341437
0.8,-0.99,8.00571649451e-07,2.85904275681e-06,6.82450592738e-09,0.999996333561
0.81,-0.99,8.07853011183e-07,2.85975122098e-06,6.80529803915e-09,0.99999632559
0.82,-0.99,8.15217864361e-07,2.86047140844e-06,6.78661447421e-09,0.999996317524
0.83,-0.99,8.22667236502e-07,2.86120314202e-06,6.76845523534e-09,0.999996309361
0.84,-0.99,8.30202164994e-07,2.86194623556e-06,6.75082040468e-09,0.999996301101
0.85,-0.99,8.37823697005e-07,2.86270049377e-06,6.73371014346e-09,0.999996292742
0.86,-0.99,8.45532889399e-07,2.86346571194e-06,6.71712469286e-09,0.999996284284
0.87,-0.99,8.53330808636e-07,2.86424167584e-06,6.70106437415e-09,0.999996275726
0.88,-0.99,8.6121853066e-07,2.86502816144e-06,6.68552958904e-09,0.999996267068
0.89,-0.99,8.69197140781e-07,2.86582493474e-06,6.67052082066e-09,0.999996258307
0.9,-0.99,8.77267733549e-07,2.8666317516e-06,6.65603863269e-09,0.999996249444
0.91,-0.99,8.85431412615e-07,2.86744835749e-06,6.64208367039e-09,0.999996240478
0.92,-0.99,8.93689290582e-07,2.86827448734e-06,6.62865666143e-09,0.999996231408
0.93,-0.99,9.02042488849e-07,2.86910986531e-06,6.61575841558e-09,0.999996222232
0.94,-0.99,9.10492137441e-07,2.86995420462e-06,6.60338982647e-09,0.99999621295
0.95,-0.99,9.19039374827e-07,2.87080720732e-06,6.59155186997e-09,0.999996203562
0.96,-0.99,9.27685347731e-07,2.87166856415e-06,6.58024560639e-09,0.999996194066
0.97,-0.99,9.36431210928e-07,2.87253795432e-06,6.56947218042e-09,0.999996184461
0.98,-0.99,9.4527812703e-07,2.87341504532e-06,6.5592328253e-09,0.999996174748
0.99,-0.99,9.5422726626e-07,2.87429949276e-06,6.54952885346e-09,0.999996164924
1.0,-0.99,9.63279806212e-07,2.87519094014e-06,6.54036166536e-09,0.999996154989
1.01,-0.99,9.72436931598e-07,2.87608901875e-06,6.53173274874e-09,0.999996144942
1.02,-0.99,9.81699833992e-07,2.87699334743e-06,6.52364367861e-09,0.999996134783
1.03,-0.99,9.91069711545e-07,2.8779035324e-06,6.51609611764e-09,0.999996124511
1.04,-0.99,1.0005477687e-06,2.87881916717e-06,6.50909181672e-09,0.999996114124
1.05,-0.99,1.01013521588e-06,2.87973983228e-06,6.50263261592e-09,0.999996103622
1.06,-0.99,1.01983326919e-06,2.88066509521e-06,6.49672044499e-09,0.999996093005
1.07,-0.99,1.02964315007e-06,2.88159451022e-06,6.49135732397e-09,0.999996082271
1.08,-0.99,1.03956608497e-06,2.88252761819e-06,6.48654536409e-09,0.99999607142
1.09,-0.99,1.04960330495e-06,2.88346394649e-06,6.48228676827e-09,0.99999606045
1.1,-0.99,1.05975604537e-06,2.88440300887e-06,6.47858383166e-09,0.999996049362
1.11,-0.99,1.07002554544e-06,2.88534430529e-06,6.47543894266e-09,0.999996038155
